index	hemisphere	x_center	y_center	z_center	lobe	sublobe	power_network	yeo7_network	yeo17_network	SourceAtlasName	SourceAtlasIndex
35	L	-11.17	-39.75	55.68	Parietal	precuneus	Somatomotor	7Networks_4	17Networks_11	russome-left	35
36	L	-11.55	-44.46	68.07	Parietal	precuneus	Somatomotor	7Networks_4	17Networks_6	russome-left	36
37	L	-9.97	-50.45	67.82	Parietal	superiorparietal	Zero	7Networks_3	17Networks_6	russome-left	37
38	L	-7.78	-21.4	72.23	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	38
39	L	-7.56	-21.17	63.16	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	39
40	L	-13.59	-13.31	68.2	Frontal	paracentral	Somatomotor	7Networks_2	17Networks_3	russome-left	40
41	L	-15.47	-10.39	62.79	Frontal	superiorfrontal	Somatomotor	7Networks_2	17Networks_7	russome-left	41
42	L	-9.39	0.66	67.7	Frontal	superiorfrontal	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	42
43	L	-13.7	-43.36	60.88	Parietal	precuneus	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	43
44	L	-11.7	-32.04	46.73	Parietal	precuneus	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	44
45	L	-9.96	-34.87	70.01	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	45
46	L	-6.21	-28.17	73.63	Frontal	paracentral	Somatomotor	7Networks_2	17Networks_3	russome-left	46
47	L	-11.96	-24.84	45.95	Parietal	paracentral	Somatomotor	7Networks_4	17Networks_7	russome-left	47
48	L	-4.61	-22.02	49.79	Frontal	paracentral	Somatomotor	7Networks_2	17Networks_3	russome-left	48
49	L	-4.8	-10.89	51.2	Frontal	superiorfrontal	Somatomotor	7Networks_2	17Networks_3	russome-left	49
50	L	-4.71	-4.91	57.49	Frontal	superiorfrontal	Cingulo_opercular	7Networks_2	17Networks_3	russome-left	50
51	L	-26.09	-28.46	59.29	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	51
52	L	-35.54	-22.0	48.11	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	52
53	L	-44.74	-9.14	47.46	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	53
54	L	-41.49	-2.04	47.17	Frontal	precentral	Ventral_Attention	7Networks_3	17Networks_6	russome-left	54
55	L	-29.49	-3.62	49.37	Frontal	caudalmiddlefrontal	Cingulo_opercular	7Networks_3	17Networks_6	russome-left	55
56	L	-19.92	-2.41	53.66	Frontal	caudalmiddlefrontal	Frontoparietal 2	7Networks_3	17Networks_12	russome-left	56
57	L	-19.35	9.12	58.79	Frontal	superiorfrontal	Frontoparietal_1	7Networks_6	17Networks_12	russome-left	57
58	L	-14.47	17.4	60.08	Frontal	superiorfrontal	Frontoparietal_1	7Networks_7	17Networks_17	russome-left	58
59	L	-24.67	-23.51	60.02	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	59
60	L	-16.47	-28.68	67.94	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	russome-left	60
61	L	-37.91	-16.85	60.17	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	61
62	L	-14.98	-23.6	68.58	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	62
63	L	-29.9	-9.51	50.68	Frontal	precentral	Cingulo_opercular	7Networks_2	17Networks_3	russome-left	63
64	L	-22.13	-14.87	62.22	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	64
65	L	-28.14	-11.34	56.19	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	russome-left	65
66	L	-19.05	-5.57	57.56	Frontal	superiorfrontal	Somatomotor	7Networks_3	17Networks_6	russome-left	66
67	L	-13.27	1.7	60.71	Frontal	superiorfrontal	Dorsal_Attention	7Networks_3	17Networks_12	russome-left	67
68	L	-24.99	-33.32	63.3	Parietal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	russome-left	68
69	L	-22.3	-44.53	64.94	Parietal	superiorparietal	Cingulo_opercular	7Networks_2	17Networks_3	russome-left	69
